movie_id,title,genre,director,cast_size,budget_millions,runtime_minutes,release_year,production_company,rating,budget_per_minute,decade,director_films_count
1,Movie_1,Thriller,Director_175,23,23.891683240484248,106,2014,Universal,8.0,0.22539323811777592,2010,21
2,Movie_2,Horror,Director_174,37,31.781098988849905,120,2016,Paramount,8.6,0.26484249157374923,2010,14
3,Movie_3,Animation,Director_180,32,159.9676518487265,94,2013,Paramount,7.5,1.701783530305601,2010,25
4,Movie_4,Romance,Director_19,35,53.19468256218117,131,2020,Amazon Studios,7.2,0.40606627910061965,2020,29
5,Movie_5,Thriller,Director_106,25,32.767300464087235,124,2016,Disney,8.2,0.2642524230974777,2010,39
6,Movie_6,Crime,Director_21,38,159.39033523429293,131,2018,Warner Bros,6.9,1.2167201162923125,2010,20
7,Movie_7,Drama,Director_64,19,29.955076203084438,95,2012,Sony,7.4,0.3153165916114151,2010,24
8,Movie_8,Thriller,Director_165,18,14.983874328156087,139,2014,Paramount,8.3,0.10779765703709415,2010,22
9,Movie_9,Animation,Director_27,23,297.99999139770733,122,2013,Amazon Studios,9.0,2.4426228803090764,2010,23
10,Movie_10,Romance,Director_55,47,25.588146514971534,145,2018,Amazon Studios,8.2,0.17646997596532094,2010,22
11,Movie_11,Horror,Director_29,19,105.27705001577974,109,2014,Disney,8.9,0.9658444955576122,2010,29
12,Movie_12,Animation,Director_148,10,19.0485711211696,137,2019,Sony,9.1,0.1390406651180263,2010,24
13,Movie_13,Animation,Director_25,13,75.71803230621087,131,2011,Amazon Studios,8.0,0.5780002466122968,2010,31
14,Movie_14,Drama,Director_70,41,47.164098836683294,158,2019,Amazon Studios,8.2,0.2985069546625525,2010,32
15,Movie_15,Sci-Fi,Director_63,24,207.92051844342603,117,2010,Disney,7.8,1.7770984482344105,2010,20
16,Movie_16,Romance,Director_164,38,50.240861989747664,106,2016,Disney,6.8,0.47397039612969494,2010,27
17,Movie_17,Comedy,Director_130,42,11.266667425295958,107,2020,20th Century Fox,7.9,0.10529595724575662,2020,37
18,Movie_18,Animation,Director_150,30,56.30165040864975,92,2010,Warner Bros,8.5,0.6119744609635842,2010,15
19,Movie_19,Sci-Fi,Director_16,22,17.851200146431523,107,2017,Universal,6.3,0.166833646228332,2010,30
20,Movie_20,Comedy,Director_146,32,90.10844858613359,61,2018,Warner Bros,6.8,1.477187681739895,2010,40
21,Movie_21,Romance,Director_197,13,107.09477968033487,154,2016,Sony,6.9,0.6954206472749017,2010,24
22,Movie_22,Action,Director_182,36,42.89802956176866,168,2018,20th Century Fox,8.2,0.25534541405814676,2010,33
23,Movie_23,Crime,Director_100,10,86.4439492979053,116,2019,Amazon Studios,5.9,0.7452064594647009,2010,27
24,Movie_24,Sci-Fi,Director_30,18,17.839166680817815,130,2015,Warner Bros,7.2,0.13722435908321395,2010,28
25,Movie_25,Adventure,Director_45,32,43.87138768761662,124,2016,Amazon Studios,6.3,0.35380151360981144,2010,22
26,Movie_26,Action,Director_19,28,35.03916623421243,87,2012,Universal,6.9,0.40274903717485555,2010,29
